"","Text"
"31125","00:26:33 Erin Casey: Single family. 2 Baths. Location in Tulsa, OK.
"
"33113","22:50:39 Radell Gregory: Is a single family home they're asking $89,000 for it and I like the location it's it's at
"
"33133","22:50:39 Radell Gregory: Is a single family home they're asking $89,000 for it and I like the location it's it's at
"
"33443","22:31:51 Natosha Pinola: The location,  condition and price
"
"34116","22:00:23 Gina: price, location and its cute
"
"35136","21:34:41 Holly McCloud: It’s the location we want"
"35731","20:57:41 Devon Sullivan: We were helping a family friend move out of the house and just really fell for the house. Love everything about it, as well as the location.
"
"36331","20:25:11 Eric: Oh, you know it is with a house... lots of criteria, but location and layout are nice.
"
"36865","19:59:47 Wesley Rogers: Minimum 2 bed 2 bath updated at least 1300 sq ft location is not a must do not need to live in city"
"37043","19:51:03 Candace Reid: The location"
"37215","19:48:07 You: I have a location - Northern VA which is pretty specific and includes the following, Alexandria, Arlington, Fairfax, Falls Church, Fairfax County, Arlington County, etc.
"
"37400","19:48:07 You: I have a location - Northern VA which is pretty specific and includes the following, Alexandria, Arlington, Fairfax, Falls Church, Fairfax County, Arlington County, etc.
"
"37816","19:27:05 Alberto padron: Yeah 9 am is fine  but is it possible to meet at a diferent location?    Maybe at a McDonald's or a coffe shoop closer to my destination?"
"37819","19:32:14 Alberto padron: It's a McDonalds location"
"37962","19:27:05 Alberto padron: Yeah 9 am is fine  but is it possible to meet at a diferent location?    Maybe at a McDonald's or a coffe shoop closer to my destination?"
"37965","19:32:14 Alberto padron: It's a McDonalds location"
"38146","19:27:05 Alberto padron: Yeah 9 am is fine  but is it possible to meet at a diferent location?    Maybe at a McDonald's or a coffe shoop closer to my destination?"
"38149","19:32:14 Alberto padron: It's a McDonalds location"
"39854","18:07:29 Mark Bentley: Location and being very familiar with the owner and the home for years."
"39922","18:06:34 Imani Francies: Well my situation is difficult. I have money saved up but it’s not in the bank, but I have bank statements of my mom withdrawing that amount of money.. I’m trying to put me and my daughter in a home with low monthly payments because renting in a decent location is expensive and I’m trying I get us away from being in a bad living situation with her father... my credit score is 571 but after I pay down debt in a few of days, it should be above a 580.
"
"41566","17:34:39 Rick Mann: Ok, not sure if the location for that matters right now, I am looking all over. But basically Columbus/New Albany/Westerville, etc.
"
"43432","16:25:28 diana reconco: my current condo, right now my  primary home, is smaller and more expensive, obiously is due to location
"
"45483","15:10:18 You: Hi Justin _ we are trying to schedule the closing however this is a multi location closing - James and Linda live in Florida"
"45711","15:12:05 Cassandra: well he is basically stuck on this house. its in a perfect location the size is perfect for us and its in the best school district for our kids"
"45808","15:19:52 Nicola Perez: Yes sorry, I'm also at work. Yes I'm transferring to the bozeman location
"
"47170","14:21:21 gregory kerr: 150-220 depending on what we can find based on land and location of course"
"48398","13:35:09 Daniel Nimon: thanks. Im trying to determine home affordability (mortgage debt) so i can look at houses in new location where we are moving"
"49009","13:32:31 Danny Phu: The artesian way location I get $4600 a month"
"49965","04:07:14 SONIA MARTINEZ: The location is ideal and the school ratings are great"
"51325","02:50:09 SELENA GRIGG: The area homes that I have looked into, the size of the lot, my location.
"
"52156","02:01:52 jeffery nichols: Its in a good location"
"53849","00:53:46 Patty Peelen: As little as possible. If she.  Moves down road. Rent is that is about 2200-2400 a month for two bedroom . A plus location. Last one sold this week in a day for a one bedroom at 250k bidding war"
"54141","00:39:13 Jay Riddle: It's the way it's built and the location"
"57335","22:55:23 april SPENCER: location is great it has a realy nice view"
"57900","22:29:15 You: do i have the option of changing my closing location"
"60145","22:17:26 edward voss: Tsa/Dept homeland security federal air marshal service start date 1/21/91 office location is coppell tx"
"61325","21:03:18 Michael Faraj: The location, community, schools, lifestyle
"
"62999","20:16:57 Katrina Rogers: We need at least 4 bedrooms with an office space and would prefer a 2 story house. We are looking to have a max mortgage payment of no more than $1350 a month and have $4,800 cash for down payment and optional 401k loan. We've been working with another company but their requirements for the location of the house are not conducive to our needs
"
"63995","19:43:26 Cassandra Nichols: Hello, I am interested in seeing how to qualify for a loan for real estate investing purposes. How do I get to the correct location on your website to do so?
"
"65853","19:02:14 My name is Prince Washaya: I think it case easily appraise for $150K given its strategic location by NC State University campus."
"69861","17:35:24 Adriano Corona: Would prefer an office location near by."
"69923","17:30:38 Reigna Greene-King: It’s affordable, and the location that I need
"
"70231","17:21:42 You: Location and overall appearance, age of the home, full basement.
"
"70515","17:21:42 You: Location and overall appearance, age of the home, full basement.
"
"72121","16:41:44 Ashley Madore: I am looking for a base of what my boyfriend and I would be approved for. We have been looking at homes generally in Connecticut but no specific location"
"73684","16:12:03 Kyle Nixon: Location really"
"75148","15:38:21 You: Will there be someone coming to my location from Rocket Mortgage, or is this an online process?
"
"77728","14:38:09 Steven Spinner: Location kids jobs"
"78931","14:13:13 Richard: Weren't planning to move, just found a house and location we love by accident
"
"80048","13:36:10 Cody Smith: Location and views.  It is near the river that I fish often."
"86908","00:12:44 Robert Falco: It’s listed at 179 thousand however we noticed online it was listed as a USDA loan accetible location and we were curious as to what that type of loan looks like since it had a 0 down payment option listed with that loan"
"89275","22:54:00 Dustin Young: I need a 4bdrm. Other than that I'm not too picky. Obviously location is important, and I would like to buy something that doesn't need any work done.
"
"89990","22:43:40 mike: $250,000, but I think that was low for the location and market...nevertheless, that was the appraisal.
"
"91433","22:06:58 Harmony: I have been a MT for 14 years and running my own business collectively for 5 years,  3 years at this location
"
"93024","21:04:38 John Hatton: We’ve looked at several, but I know I have some credit issues so we haven’t made any decisions other than approximate location we’re interested in. I’ve been improving my wife’s credit in the hope that would get us qualified for a VA loan. I do have my VA COE, too
"
"93421","20:47:31 Choutney Louizaire: Hello, do you have locations where I can go in and speak to someone?
"
"94441","20:21:01 Loretta: Location"
"95873","19:40:24 You: Just very unhappy with our closing location being so far away"
"96925","19:25:07 Maria Quesada: i dont have an exact location. I could be from Kendall to Hialeah"
"96926","19:26:21 Maria Quesada: i am not restricted by the location. I am more focused on purchasing something I can truly afford"
"97111","19:25:07 Maria Quesada: i dont have an exact location. I could be from Kendall to Hialeah"
"97112","19:26:21 Maria Quesada: i am not restricted by the location. I am more focused on purchasing something I can truly afford"
"97348","19:29:45 MaryAnne: I would say between $280-$300K.  My unit happens to have the best view and is in a desirable location."
"99365","19:00:11 David Kim: probably change my job to a closer location"
"101820","18:13:36 Emily Short: it's more about location and cost/benefit ratio"
"102955","17:17:36 You: ok ,how can i plan on a  location to be at if i don'd know what day?
"
"102956","17:21:02 You: Ok this is as simple as I can make it we have to go school shopping and get a car serviced on Saturday. Will it be Saturday? Because that will change the location?"
"105436","15:59:33 You: Can you tell me if a location has been determined for my closing that is scheduled for tomorrow at 9?"
"106704","15:33:30 Edgardo: Is only for me and my wife, so nothing to crazy, but location is important.
"
"106950","15:23:39 Stephen: I just accepted a new job about 50 mile north of my current location.  I have to move within 30 miles of the new office but i have 3 months to do so.  We have not found a place yet."
"107475","15:10:19 Corri: Hopefully upper Marlboro, md is the area that seems like a great location for me
"
"108482","14:47:14 You: Good morning.  My closing location needs to be changed.  I sent the new location in my message box.  Can this  be arranged?  Thanks, Barbara
"
"109104","14:32:14 Max: It's in a good location, and the price is right
"
"110173","14:04:45 You: just wanted to let you know this is a starbucks location"
"112549","13:01:10 Kayla Curnel: My husband is the one whose work transferred him to a different location. I would have to find a new job"
"114218","03:25:15 Antwan McNeill: we already have land so location is set, 3bd 2bath is what looking at
"
"114681","03:02:45 Mark Orlowski: Great.  I would like to change the location of my closing on Monday. To 1 campus Martius"
"114825","03:18:28 Donna Smailis: Yes! The location and space is great"
"117173","01:30:46 Corey Walker: it's the location we want"
"119252","00:41:01 Albert Giughlo: may I am in the wrong location as I have already been approved and just waiting for the update. And I already have been working with on of you agents. sorry for nay confusion."
"119816","00:21:48 Mark Dignan: I am just testing the water to see what kind of mortgage I would qualify for. I have  a location in mind but no specific property as yet,
"
"121768","23:32:45 Elodie Wolfe: I would like to refinance to consolidate debts into my mortgage. Currently I would like to get out between 15-20k. My total owed is 205000 and my estimated home value not including consideration for location and market is 275000"
"122651","23:09:35 Kerianne Krause: I own a company and the company is looking to have a second location. The location is for sale and for lease so wanted to see if it was possible to buy"
"123815","22:43:09 Samantha Sproat: The owners want to sell and offered it to us first.  We’ve never owned a home before and it’s in a great location. And the price is fantastic, so we really want to buy it
"
"124258","22:26:07 MATT RUTHERFORD: Yes sir, that's my preferred location.  However, this is a tri-state region, so there is a possibility of WV or OH as well, but 90% sure it will be KY.
"
"125578","22:30:10 You: Since I have POA for William and Vicki, both Nicole and I will be in the same location.
"
"126353","21:46:02 Antonio Gonzalez: Not really. Good location, decent neighborhood, good space
"
"126356","21:47:28 Antonio Gonzalez: Looking for somewhere towards 200-250K depending on location and the house itself"
"126690","21:44:21 Steven Hoss: the location its close to the river and i love to fish"
"127286","21:38:34 Ricky Pierce: I don’t have enough service for a phone call right now. I’m on location for work, and I’m currently using the drilling rigs WiFi. I get off work around 6:30
"
"127851","20:53:30 nicholas smallwood: To establish more credibility and a stable location"
"129053","20:29:33 Kelsey Peyton: I'm honestly not sure yet, the asking price seems pretty reasonable for the location, so the offer would probably be pretty close to the asking price
"
"130232","20:07:30 Brent Richison: The location really"
"130234","20:08:59 Brent Richison: I've just been passively looking for a few months now. Just looking for the right location and price."
"132553","19:11:16 You: closing date will be 9/10. Location is 2707 African Violet Ave, Henderson, NV 89074. Could we do like 5:30 PM as the time?
"
"133891","19:25:22 Diane Nikprelevic: Yes, there are many stores with openings. I have approval to transfer. I was waiting on the house location to determine which store I will remain at due to traveling distance
"
"133902","19:47:45 Diane Nikprelevic: I already have approval for my new job. I just need to tell them the location I would like to work at."
"134151","19:25:22 Diane Nikprelevic: Yes, there are many stores with openings. I have approval to transfer. I was waiting on the house location to determine which store I will remain at due to traveling distance
"
"134162","19:47:45 Diane Nikprelevic: I already have approval for my new job. I just need to tell them the location I would like to work at."
"134471","18:53:54 Teresita Morales: I've only been in business for 2 years at that location and have a full clientele that just moved from another salon ... they really love the space and I love the home is so perfect"
"135659","18:23:44 Asia Stanislaus: Its mainly the location"
"136034","18:23:44 Asia Stanislaus: Its mainly the location"
"137692","17:47:50 David Dong: More space and different location"
"139923","17:04:14 Raymond Hickman: Hey that sounds great. My purchase location may change to a cheaper area other than CA so time is a good thing."
"140202","16:59:07 Cassandra Bullock: We don't have a whole lot of specifics about what we are looking for in a home. We are first time home buyers, with no children. Location would be the main thing that is important to us
"
"141295","17:17:21 Matthew Shell: what if i get promoted, or change locations with the company since its a franchise?
"
"146619","14:56:39 You: I can't figure out the location of the closing?  I see the time is 9:00 AM"
"147446","14:51:30 Angela Cook: Maybe so, however we really liked this home and the location
"
"147553","14:42:32 Laurie Keely: I applied on line and think there is possible confusion because I gave 2 locations as possible primary residence"
"152786","03:54:54 Filipe Coelho: Location would be preferable in Long Beach, CA.
"
"153221","03:30:41 Jessica Barber: My realtor said based on the location and stuff it's between 129,000-138,000 and she wants to start at the high end and see what happens? I guess we haven't really finalized a price
"
"153254","03:45:43 Graciano Cervantes: 4 bedroom, 2400 sf +/- possible a pool and location
"
"154073","02:47:05 PATRICE BILLINGSLEY: the location is great. The prices are extremely affordable and the units are the right size"
"154122","02:54:09 Antonio Jenkins: Location, newly built, and asking price may can make offer for lower
"
"154539","02:26:38 James Sherwood: We're looking to purchase a duplex at the price of $265,000 to $280,000. We're buying the home as an investment property and are intending to rent it out. We found a house that we think is a pretty good deal that's in a good location (it's located right near a college campus so we're confident in having consistent rental demand)
"
"154609","02:34:06 Dianne: $135,000; Gloucester City is not the most desirable location, but the house is great for a working family.
"
"156203","01:27:06 Tim: No just moving to start a new location"
"156530","01:22:43 Kellina: He is being moved to a different store location due to a job promotion it is an hour and half away so commuting really isn't an option"
"157034","01:06:41 Fred Cecchini: location"
"158688","00:48:14 Melvin Canada: Some what we didn't want to sale the house so it has been a little hard the easy fix would be to sale. But my grandson just had a baby that had problems and we want him to be in a location they could receive help with physical therapy etc."
"159797","23:33:09 Sagnik Bhowmick: location, space
"
"162810","22:03:14 You: I may be transferring to another location and want to see if I can rent out the home I am living in and buy a new home in that market. Will FHA allow for that?"
"163359","22:03:14 You: I may be transferring to another location and want to see if I can rent out the home I am living in and buy a new home in that market. Will FHA allow for that?"
"164082","21:51:25 Monique Phillips: We seen one online yesterday we are interested in. We haven't looked at it yet but it's in the right location I would like to be in and the price is good."
"167751","20:26:45 GEORGE HASLETT: location, size, property, etc.
"
"169798","19:49:05 Stephanie Nalbone: I’ve been looking around for awhile now and keep going back to this one. It’s only 6 miles from where I work which is a plus. It’ll be for my daughter and I, so the school district is also what I was looking for. It’s tucked back in the mountains which is what I wanted , doesn’t need any work done to it. It’s an older house but the roof and gutter system was replaced new in April this year. Everything was kept up to date. Basically the location, the size and the fact that it’s move in ready makes it pretty ideal!
"
"171784","18:55:39 Karen Magner: My granson and I live in a mobile home that I have owned since 1985.  It is too old to move to another location and we are afraid the landlord will be tempted to sell for new construction."
"174298","18:03:55 Holly Dyson: 5318 Commons Court in VA Beach is the location"
"174615","18:20:20 Benjamin Blackburn: probably the location and the fact that most of the major work has been done already"
"175255","17:40:42 Jennifer: I have a home loan with you.  I am putting the house on the market to sell and looking to purchase in another location in the county.  How can I find out what I would qualify for to purchase a new home?"
"175331","17:40:35 Quishana Darion: I need help narrowing down locations with low tax"
"176105","17:33:08 Jonathan Lopez: The location is a big plus for myself and the school district is ideal and in close proximity for my kids.  The house is in move in condition."
"177760","16:59:52 Jose Chacon: 100K - 150K depending on location/condition"
"178919","16:25:30 Kevin Cygan: She wants to move to a different location and somewhere with more yard"
"181396","15:53:01 Matthew Skelton: Yes, I began working as a pharmacy tech during college/pharmacy school and then as a pharmacist after graduating. I have changed hospital locations once but worked within the same hospital system the entire time.
"
"183211","14:54:05 Anne Javanainen: the house is not important but the waterfront location."
"183366","14:54:05 Anne Javanainen: the house is not important but the waterfront location."
"185084","14:19:16 Christin Adams: I am not looking at any other locations at this time"
"185118","14:43:28 Christin Adams: so not sure on other locations"
"186819","13:22:52 Tritia Antonio: Definitely the location and the reasonable price compared to comps in the area"
"187929","12:12:34 Cecelia Vaccaro: No. However I know the type of home I want including upgrades, location, etc.
"
"187949","12:12:34 Cecelia Vaccaro: No. However I know the type of home I want including upgrades, location, etc.
"
"189038","03:39:26 Harrison Hooper: To rent it out. It’s in a great location for college students"
"189342","03:40:52 Christopher Renick: Price of homes and location"
"189738","03:21:50 Grant Christman: i asked huntington if i could port it to the new location and they said no"
"191771","01:53:53 Evelyn Wright: Mainly the availability of the house. I am a business owner and the house is in a good location for my business as well as close to family"
"191795","01:50:19 Jun Wang: I am moving to a new house due to change in job location"
"191811","02:04:47 Jun Wang: It's the same company different location within the state"
"191815","02:07:56 Jun Wang: I start my position in September, not every company gives out new letter for change in job location
"
"191996","01:40:01 Christie Westerhold: Exactly. Ii love the location and it is perfect size for my children and I. It needs a little work but hopefully I can wrap some extra money up in the home loan to make that happen"
"196426","23:58:52 Edward Schoenherr: I have been thinking about it for a while, mainly started a new job in May that is going very well. Also, a friend of mine is selling his home and it is one of the homes I am considering, it is potentially a good opportunity, at the price range for location in this area
"
"197502","23:38:49 Emily Schob: close to my family and central location for me"
"198350","23:15:42 Venancio Martinez: I'm not sure. To be honest it all depends on the house.. location and all that good stuff"
"199103","22:48:57 You: Hello, this is Amanda.  I need to change our closing time and location for tomorrow.
"
"199246","22:52:10 Charlotte Busch: The price is so amazing for the size and location of the house. It’s a four bedroom three bathroom  ranch for $129,000 right on a woodline which is just what we were looking for!
"
"200210","22:52:03 vincent manna: Location, updates to the home.
"
"200528","22:20:54 Curtis Priest: New location."
"201214","22:01:40 Michael McCarthy: Location and rentabity"
"204046","21:04:59 Christopher Sivels: I like the 3 story townhouse I saw.  And that they were nice and the yard was low maintenance.  And it looked like a good location"
"204690","20:45:23 You: I think we are scheduled to close tomorrow at 10 AM, but we don't know the name or location of the title company
"
"206278","20:42:52 Simon: do you have a physical office location?"
"209308","19:13:02 Jon Leibert: Beginning. More on location and taxes in the areas"
"210363","18:54:59 Ryan Milstead: We don't have a signed agreement yet, only an intent to purchase letter. This house is in a great location, is within our pricepoint and has a great layout and finishes so it's perfect for us right now
"
"212790","18:07:43 You: I am hoping we are closing at our home at 4 today. is that what you have? I checked the closing docs and that was the location on the forms. now it looks as though we might be at  Vintage at 3?"
"215129","17:22:41 menachem shapiro: Thanks Jenna. We look forward to working with you. The townhome is in the perfect location for us in Boca Raton and it's a great starter home with great value."
"216612","16:58:17 Susan Hudgins: That's actually what i'm searching for a preapproval now. We've already found a home. I'm going to be selling/am in the process of selling the current home. However a great location has popped up in a neighboring area and I would like for it to not get away while i'm waiting for my current property to sell."
"216615","17:02:10 Susan Hudgins: I'm currently living in a rural two story house and with medical reasons, a single story location near/in town is much more appealing these days.
"
"216616","17:03:37 Susan Hudgins: Current home is paid off so I don't mind waiting for it to sell. This new location would be primary anyway"
"216670","16:58:49 David Rogers: Location; lot; home size and features"
"216692","17:22:55 Benjamin Lane: Location is first priority. Right now my wife commutes about 1 hour each way. Second is space with ability for the kids to come home and have a space of their own that can eventually convert to guest room or office."
"218513","16:33:17 Stephen Richmond: that is based on QL estimate in my account page, and I have looked at, zillow and my towns assessment and they all say 406 - 410K. In my opinion, based on the size and location thats pretty accurate
"
"218514","16:34:05 Stephen Richmond: size location condition and neighborhood"
"220295","16:00:38 You: Hello, I'm trying to understand the closing that was just scheduled.  I had asked for a closing location close to my house, and the closing location that was just added is actually my house address
"
"225284","14:37:41 Caitlin Smith: He may be transferring to another location with his current job but we're not 100% sure yet"
"227170","13:43:41 You: Ive found a home here in my new living location in GA that I want to build, but want to possibly give a contract today
"
"227555","13:43:41 You: Ive found a home here in my new living location in GA that I want to build, but want to possibly give a contract today
"
"227641","13:43:39 Alex Porte: But the wife and kids will not be able to travel with me to my next location"
"228736","13:03:02 You: trying to plan as prorated taxes for new location will be due soon"
"231605","02:32:57 Seth Farnsworth: Sure, my work is transferring me from Colorado to Utah on October 1st, so we're buying a home in the Logan, Utah area; we're just looking for a single family home with at least 4 bedrooms in a good location; we plan to build, but that will take a year or two so we're buying a house to live in until we can get the new one built, and then plan to either rent out or sell our home (the one that we're buying now)
"
"231681","02:32:57 Seth Farnsworth: Sure, my work is transferring me from Colorado to Utah on October 1st, so we're buying a home in the Logan, Utah area; we're just looking for a single family home with at least 4 bedrooms in a good location; we plan to build, but that will take a year or two so we're buying a house to live in until we can get the new one built, and then plan to either rent out or sell our home (the one that we're buying now)
"
"234038","01:01:11 Anthony Rafetto: I'm looking at locations in the area so I need to make sure I can get pre-approved to work with a realtor"
"234088","01:06:19 Jeremy Ryals: I am looking for my retirement home.  I wont be moving to any other location if all plays out the way it shoudl"
"234434","00:51:27 Tiffany Agosto: Right location/ neighborhood, walk in closet, nice room to fit a pool table (maybe a basement with a bar), nice fenced in yard with a deck and great kitchen
"
"234606","00:46:06 Laura Pagel: Good evening, I was trying to schedule my closing.  It asked for an address...I don't have the Indianapolis locations that were given during the application process.  I checked my home address, since I didn't know the addresses/locations.
"
"234608","00:49:02 Laura Pagel: No one has called me, this was all requested online.  I DON'T, I 'd rather go to closing location/company.  Can that be noted?
"
"234997","01:00:32 Leah Sawer: Not sure exactly, probably between $300,000-$440,000 but maybe less just depends on what i can find that will work. Location is most important, and new....we are in transition mode with kids heading off to college so downsizing is not a bad thing :) i know that’s a large range but i won’t know exactly til i find the right house
"
"237588","23:02:29 Emma Harris: We are looking for a starter home. It is me and my fiancé. We are looking for something small that can be updated. We are looking in the Williamstown, KY location. We are buying because our housing situation at the moment isn’t working out.
"
"238476","22:35:09 Elizabeth Cassandra: Under the same umbrella corporation ""Weld County Garage"" but a different location. I'm now at Truck City Service Center as of August 16th
"
"241437","20:52:12 Lisa Newburn: When we enter our bank name, it brings it up but not the main location located where we live
"
"241865","20:46:52 Samantha Romanecz: Oh yeah! Great location"
"242934","20:16:00 Amber Hannon: I am seeking a multi family home. The location and income is all correct though."
"243203","19:55:29 Timothy Smith: 518 227 8670  but I get choppy service at this location"
"244166","19:22:23 Jericho Cain: location, size
"
"247077","17:59:38 Gale Carbone: it will be easy to fill the house in this town and this location"
"252511","14:25:25 Gordon Brockman: No, we are working with an architect and have plans nearly complete, meeting with a geologist tomorrow to confirm site improvement location, we most likely will not start the project until spring of next year due to the availability of the contractor
"
"252651","14:20:53 Kaitlin Mckiernan: The garage and location."
"252686","14:26:02 Sammy Ndiyo: Ok. The program that is giving her the grant is for the locations in Baltimore, MD nearby to the Johns Hopkins locations
"
"252751","14:20:53 Kaitlin Mckiernan: The garage and location."
"253741","13:27:21 Amanda Hinerman: I am actually an interior designer that specializes in custom new home construction, so we are most excited in the location.  We are building with Highland, so finish out is pretty basic, will be adding a lot of our own upgrades after closing.
"
"253811","13:11:17 Miranda Okicki: We are wanting to put an offer on a home that is at a different location than the first one we liked. The new home we want to put an offer on is located at 3612 Brandes St. Erie, PA 16509. My realtor stated that my loan estimate and pre-approval letter need to reflect the taxes at this location which is $3,400/year and I need it before 10am due to my realtor having showings all day with her other clients and someone else already put a offer in on the home so she wants us to put ours in as well first thing this morning...
"
"256566","02:16:44 Megan Hislop: what if the location qualifies"
"256736","02:05:31 Mohamed Sankoh: I may sell my current location or rent it out for about 1500 monthly"
"257696","00:52:57 Brad Menz: Its in the town I prefer. It has the room I need. It has more storage and a garage with other outbuildings. The yard and location are perfect."
"259245","23:57:47 Sarah Lamarre: The location and that’s it small and seems to be turn key"
"262579","21:47:25 Stephanie Puryear Helling: I want to get approved for $450K, but may end up doing something under that, depending on location and amenities
"
"262825","21:42:59 Kaylie Secord: Wow awesome! I am just beginning, I am a registered nurse and I am completing a degree currently online, I finish my last class this October. Financially I am just beginning the process as well but I would like to know what I am going to be approved for because I would like to move in to a home as soon as possible. I currently like the idea of buying a condo, until my boyfriend finishes school and we buy a house together. I would like the condo in my name. I am open to a house if it is in the right location! I found a condo I would like to visit, it has an open house tomorrow. I have also spoken with a realtor in the past and that is who I will continue the house hunting process with. I hope you can help me get pre approved quickly! (I am done paying for school now out of pocket so I will be able to save more very quickly and be ready very soon)
"
"263018","21:43:16 Madison Hurd: We are looking to relocate to a new location. We currently rent in the city of Chicago and will be moving to Monticello, IN due to jobs.
"
"266635","19:24:06 Jeffrey Stevens: well, took a drive by to see location  and it is empty. no one lives there, anymore
"
"266880","19:23:12 Kathy Keller: Not at this time, but thank you for your help. I am more interested in acquiring the property than the home itself because of the location. Thanks again for your time. I appreciate it
"
"267137","19:11:44 Bryan Case: I will be overseeing the east coast operations for a diesel particulate cleaning business. we currently have locations in Orlando and Indianapolis but its my job to find and open new locations."
"267233","19:13:00 Rory Michie: But yes income is correct and so is location"
"267268","18:58:34 viviana sandoval: I really like the location I currently live in and there's a house for sale down the street for 218k but I saw through the website that I may only qualify for around 190k"
"267475","18:51:50 Elizabeth Murray: Location, price and lot size.
"
"269413","17:41:43 Laura Hill: Location proximity to work, new build
"
"270158","17:37:22 Timothy Steward: I run the tech departments for the campuses in those 4 locations"
"270186","17:22:32 dave byers: i would utilize this properrty as rental... and then probably sell the home we live at in gilbert az in 4 or 5 years... we own a home in mexico ...and are trying to get out of 2 warm weather locations"
"270398","17:10:59 You: It says ""Please respond to schedule the location, date and time of your closing.""  But there don't seem to be any options to choose from...
"
"273718","16:04:44 Mark Connolly: Yes this house you can walk to beach or in town ! Incredible location and expect it to be $1 million location"
"277620","13:32:09 Brandon Harrison: The home is 99,900 as of right now. Completely renovated in my hometown. It’s an ideal location for both me and my girlfriend for work. It’s absolutely move-in ready and gorgeous. Right now is a good time for me to buy because I have been renting for years now and I want to stop throwing money down the drain and building equity as I move into my 30’s. I also really like this house because the price point is great. It is around the same payment as my rent right including PMI, Homeowners insurance and taxes. Also the taxes are absurdly cheap for the area.
"
"277681","13:35:52 Michael Moreland: Good, thanks. I am retired and have lived at my current location since 1990. My wife and I have a 800 credit score. Looking at home on Lake Whitney 3000 st , lake view, $299,000, like new condition. I have approximately $120,000-$150,000 equity in my home. There is not a lot of surplus homes for sale in my community so the market is good for sales. I think I would need to move quickly on this home to buy. Doubt if they would entertain anything but outright sale. How could I purchase on a temp basis until I could sale my home? Could then refi into conventional or possibly reverse. What are my options?
"
"277848","13:19:21 Erin Weigand: Price and location"
"278854","Property Location"
"279607","03:40:16 larry sites: like actual locations?"
"279889","03:10:01 You: 3 bedrooms and in the brookville/lewisburg location"
"280038","03:02:27 Janice Stephens: 3 or 4 bedrooms, good location, basement (to hide from tornados) and a fenced yard for the dog
"
"280123","03:02:37 Socorro Huynh: I want to retire there, it’s a great location and I don’t want to sell
"
